backend,status,first_call_s,avg_step_s
eager,ok,0.007230219999996734,0.005746840099997712
aot_eager,ok,0.6573514310000519,0.00862067892000084
inductor,ok,0.30476199999998244,0.007638876780001738
cudagraphs,ok,0.36947713099999646,0.005973151689996143
