size,elements,eager_time_s,first_jit_time_s,cached_jit_time_s
100x100,10000,0.0013287990000208083,0.11390693399994234,0.00027359933346815524
500x500,250000,0.0021754800000053365,0.22680631799994444,0.00016811366670784386
1000x1000,1000000,0.0017113903333362639,0.3017869459999929,0.00030326366671336774
5000x5000,25000000,0.011709757666570416,0.2728920110000672,0.0022587460000522697
